"USER_ID_MOVIE_ID","PREDICTED_RATING"
1_34,5
1_94,5
1_243,5
1_277,5
1_335,5
1_442,5
1_567,5
1_618,4
1_750,5
1_837,5
1_839,5
1_963,4
1_977,1
1_1146,5
1_1224,5
1_1232,3
1_1281,5
1_1284,5
1_1288,5
1_1382,5
1_1399,5
1_1449,5
1_1452,5
1_1486,5
1_1498,5
2_14,3
2_56,4
2_285,4
2_441,3
2_1048,3
2_1119,4
2_1192,4
2_1310,3
2_1409,3
3_512,3
3_552,5
3_578,4
3_1050,4
3_1489,4
4_242,5
4_247,3
4_265,3
4_386,5
4_409,5
4_571,3
4_580,5
4_626,3
4_707,5
4_971,3
4_1086,3
4_1177,3
4_1192,5
4_1229,4
4_1307,3
4_1325,5
4_1331,3
4_1382,5
4_1398,3
4_1409,3
4_1510,4
5_130,4
5_390,2
5_408,2
5_485,4
5_595,4
5_858,4
5_878,2
5_1166,5
5_1252,3
5_1373,4
5_1481,4
6_81,4
6_403,3
6_532,4
6_878,4
6_886,4
6_1489,4
7_56,4
7_319,3
7_322,4
7_341,4
7_345,4
7_502,4
7_512,3
7_591,4
7_812,4
7_1043,5
7_1061,3
7_1152,3
7_1165,3
7_1217,4
7_1280,3
7_1325,4
7_1522,3
8_80,4
8_224,3
8_512,3
8_707,5
8_886,4
8_1048,5
8_1471,5
8_1521,3
9_39,4
9_54,4
9_66,5
9_81,4
9_83,4
9_134,5
9_225,5
9_232,4
9_235,5
9_242,5
9_254,4
9_277,5
9_306,5
9_313,5
9_327,4
9_341,5
9_348,4
9_409,5
9_431,5
9_451,4
9_454,4
9_457,4
9_490,5
9_503,4
9_518,4
9_621,4
9_645,5
9_705,4
9_726,4
9_739,4
9_746,5
9_767,5
9_800,5
9_890,4
9_892,4
9_901,4
9_911,2
9_991,4
9_1022,4
9_1050,4
9_1090,3
9_1141,5
9_1305,5
9_1318,4
9_1357,4
9_1361,4
9_1370,4
9_1381,4
9_1388,4
9_1399,5
9_1425,4
9_1457,4
9_1498,5
9_1522,4
9_1541,4
10_91,4
10_202,4
10_327,4
10_340,4
10_344,5
10_403,3
10_408,4
10_419,4
10_422,5
10_433,4
10_451,4
10_693,4
10_787,4
10_807,5
10_812,4
10_892,4
10_1043,5
10_1090,3
10_1097,4
10_1252,5
10_1292,5
10_1318,4
10_1325,5
10_1481,4
11_224,4
11_311,4
11_326,4
11_373,4
11_403,4
11_436,4
11_451,4
11_626,4
11_706,4
11_770,4
11_892,4
11_1043,5
11_1051,4
11_1332,4
11_1373,4
11_1396,4
11_1480,4
11_1485,4
12_25,5
12_98,5
12_134,5
12_190,5
12_220,5
12_242,5
12_259,4
12_306,5
12_319,5
12_375,4
12_442,5
12_525,4
12_529,4
12_538,5
12_575,5
12_661,4
12_670,5
12_690,3
12_789,4
12_800,5
12_816,4
12_850,4
12_913,4
12_963,4
12_1022,3
12_1047,1
12_1072,3
12_1192,5
12_1288,5
12_1310,5
12_1325,5
12_1331,4
12_1360,4
12_1376,5
12_1388,5
12_1486,5
12_1504,3
12_1522,3
12_1524,3
13_81,1
13_191,4
13_242,5
13_322,4
13_325,5
13_364,3
13_419,4
13_620,4
13_787,4
13_850,4
13_1045,1
13_1050,1
13_1072,3
13_1168,4
13_1287,1
13_1292,5
13_1305,5
13_1331,4
13_1332,5
14_78,3
14_100,3
14_112,3
14_124,3
14_129,1
14_158,3
14_163,3
14_229,3
14_244,3
14_247,3
14_281,4
14_284,3
14_299,3
14_302,4
14_329,4
14_345,4
14_374,3
14_375,4
14_380,3
14_404,3
14_407,3
14_437,3
14_448,3
14_451,3
14_458,3
14_591,3
14_604,3
14_606,4
14_635,3
14_672,3
14_725,4
14_734,3
14_746,3
14_749,4
14_758,4
14_769,3
14_803,3
14_807,3
14_809,3
14_820,3
14_850,4
14_872,3
14_909,3
14_1043,3
14_1048,3
14_1063,3
14_1090,3
14_1131,3
14_1139,3
14_1231,3
14_1238,4
14_1273,3
14_1290,3
14_1298,3
14_1315,3
14_1323,3
14_1356,3
14_1374,3
14_1392,3
14_1409,3
14_1419,3
14_1429,3
14_1434,3
14_1455,3
14_1471,3
14_1472,3
14_1484,3
14_1485,3
14_1488,3
14_1489,3
14_1490,1
14_1501,3
15_23,4
15_53,1
15_356,2
15_373,5
15_440,4
15_580,4
15_603,4
15_635,4
15_707,4
15_725,4
15_923,4
15_1119,4
15_1192,4
15_1229,4
15_1296,2
15_1353,1
15_1357,4
15_1522,3
16_53,1
16_98,1
16_119,1
16_130,4
16_215,1
16_220,1
16_229,3
16_263,1
16_385,3
16_393,4
16_431,3
16_644,3
16_702,4
16_732,1
16_766,3
16_767,3
16_769,1
16_778,1
16_790,1
16_809,1
16_835,1
16_854,3
16_883,1
16_910,3
16_983,3
16_1033,1
16_1060,1
16_1062,1
16_1093,1
16_1119,4
16_1128,1
16_1168,3
16_1192,4
16_1204,1
16_1280,1
16_1290,1
16_1310,1
16_1316,1
16_1332,5
16_1407,3
16_1429,1
16_1510,4
16_1516,3
17_215,4
17_298,4
17_359,4
17_409,4
17_437,4
17_439,4
17_502,4
17_538,4
17_588,4
17_767,4
17_847,4
17_1201,5
18_78,1
18_79,3
18_105,1
18_106,3
18_134,5
18_147,3
18_154,3
18_220,1
18_232,3
18_258,1
18_259,3
18_265,1
18_272,3
18_274,1
18_284,3
18_359,3
18_413,1
18_434,4
18_451,3
18_454,3
18_511,3
18_566,1
18_580,5
18_614,1
18_626,1
18_644,3
18_767,3
18_787,1
18_795,3
18_797,1
18_809,1
18_850,4
18_899,3
18_922,3
18_932,1
18_944,3
18_949,3
18_1003,3
18_1097,3
18_1192,4
18_1198,3
18_1201,1
18_1223,3
18_1227,3
18_1234,4
18_1289,3
18_1296,1
18_1307,3
18_1310,1
18_1318,3
18_1325,5
18_1333,4
18_1340,1
18_1353,1
18_1360,3
18_1432,3
18_1484,1
18_1488,3
18_1499,3
18_1509,1
19_409,4
19_707,4
19_1051,4
19_1270,4
19_1319,2
19_1357,4
19_1409,3
20_124,4
20_224,3
20_403,4
20_409,4
20_749,4
20_878,4
20_1050,4
20_1252,3
20_1323,3
20_1332,5
21_106,5
21_134,5
21_232,4
21_659,5
21_707,5
21_890,4
21_960,5
21_1171,4
22_56,4
22_58,5
22_69,5
22_90,1
22_119,1
22_164,5
22_191,4
22_234,4
22_241,4
22_409,4
22_434,4
22_435,4
22_440,4
22_455,4
22_477,4
22_508,2
22_580,4
22_769,4
22_795,4
22_891,4
22_899,4
22_1146,4
22_1221,4
22_1224,4
22_1332,5
22_1333,4
22_1409,2
22_1438,4
22_1489,4
22_1498,5
22_1524,4
23_172,4
23_192,1
23_226,1
23_580,4
23_749,4
23_892,4
23_1051,3
23_1319,1
23_1374,1
24_56,4
24_294,4
24_723,4
24_931,4
24_995,5
24_1093,4
24_1119,4
24_1488,5
24_1515,4
25_7,4
25_30,4
25_45,4
25_54,4
25_56,4
25_58,4
25_73,4
25_77,4
25_89,4
25_104,4
25_118,4
25_188,3
25_189,3
25_191,4
25_216,4
25_223,4
25_225,4
25_240,4
25_242,4
25_243,4
25_248,4
25_285,4
25_293,4
25_297,4
25_303,3
25_313,4
25_375,4
25_392,4
25_398,4
25_399,4
25_411,4
25_419,4
25_437,4
25_442,4
25_446,4
25_457,3
25_477,4
25_488,4
25_490,4
25_507,4
25_525,4
25_526,4
25_527,4
25_531,3
25_538,4
25_542,4
25_546,4
25_573,4
25_583,4
25_585,4
25_587,4
25_588,4
25_595,4
25_606,4
25_611,4
25_620,4
25_621,4
25_641,4
25_643,4
25_644,4
25_659,4
25_661,4
25_667,4
25_669,4
25_675,4
25_677,4
25_679,4
25_688,4
25_743,4
25_750,4
25_782,4
25_800,4
25_804,4
25_811,4
25_819,4
25_824,4
25_826,4
25_835,4
25_837,4
25_842,4
25_851,4
25_884,4
25_891,4
25_910,4
25_913,4
25_920,4
25_922,3
25_924,4
25_939,4
25_948,4
25_949,4
25_958,4
25_960,4
25_1018,4
25_1022,3
25_1036,4
25_1061,4
25_1062,4
25_1075,4
25_1106,4
25_1133,4
25_1134,4
25_1160,4
25_1165,4
25_1189,4
25_1194,4
25_1202,4
25_1217,4
25_1221,4
25_1224,4
25_1229,4
25_1260,4
25_1263,3
25_1284,4
25_1304,4
25_1311,4
25_1316,4
25_1322,4
25_1328,4
25_1369,4
25_1381,4
25_1382,4
25_1393,4
25_1414,4
25_1437,4
25_1457,4
25_1491,4
25_1496,4
25_1516,4
26_4,4
26_45,1
26_58,5
26_97,1
26_134,5
