"USER_ID_MOVIE_ID","PREDICTED_RATING"
1_34,4.1
1_94,4.1
1_243,2.7
1_277,3.7
1_335,3.0
1_442,1.6
1_567,3.5
1_618,4.3
1_750,3.8
1_837,3.8
1_839,3.9
1_963,3.8
1_977,3.0
1_1146,2.9
1_1224,3.6
1_1232,3.1
1_1281,4.5
1_1284,4.0
1_1288,4.0
1_1382,2.4
1_1399,4.3
1_1449,3.9
1_1452,3.8
1_1486,2.4
1_1498,3.2
2_14,3.2
2_56,3.6
2_285,3.3
2_441,3.6
2_1048,4.0
2_1119,3.3
2_1192,2.4
2_1310,4.4
2_1409,1.9
3_512,2.1
3_552,2.8
3_578,3.1
3_1050,1.9
3_1489,3.0
4_242,4.6
4_247,3.4
4_265,3.6
4_386,2.6
4_409,2.5
4_571,2.7
4_580,1.7
4_626,4.1
4_707,2.5
4_971,4.2
4_1086,4.1
4_1177,3.4
4_1192,3.1
4_1229,2.5
4_1307,3.4
4_1325,4.4
4_1331,3.2
4_1382,2.7
4_1398,4.0
4_1409,2.4
4_1510,4.6
5_130,3.5
5_390,3.6
5_408,2.2
5_485,3.9
5_595,4.2
5_858,3.7
5_878,2.8
5_1166,2.0
5_1252,2.2
5_1373,3.1
5_1481,2.3
6_81,2.5
6_403,2.3
6_532,3.1
6_878,2.9
6_886,3.5
6_1489,2.7
7_56,3.4
7_319,3.1
7_322,3.2
7_341,2.3
7_345,2.1
7_502,4.0
7_512,2.6
7_591,3.9
7_812,3.1
7_1043,2.2
7_1061,2.1
7_1152,3.4
7_1165,2.6
7_1217,3.3
7_1280,2.9
7_1325,4.0
7_1522,2.3
8_80,4.6
8_224,2.0
8_512,2.4
8_707,1.4
8_886,4.2
8_1048,2.9
8_1471,4.5
8_1521,4.6
9_39,3.1
9_54,4.2
9_66,3.2
9_81,3.4
9_83,3.0
9_134,4.1
9_225,4.2
9_232,4.4
9_235,3.5
9_242,1.9
9_254,4.1
9_277,3.4
9_306,3.8
9_313,3.2
9_327,3.9
9_341,4.6
9_348,4.0
9_409,3.1
9_431,4.3
9_451,3.8
9_454,3.7
9_457,2.8
9_490,4.4
9_503,3.4
9_518,2.7
9_621,3.8
9_645,2.9
9_705,2.6
9_726,3.3
9_739,3.6
9_746,3.3
9_767,3.9
9_800,4.5
9_890,3.3
9_892,3.9
9_901,3.6
9_911,2.7
9_991,3.4
9_1022,4.5
9_1050,3.9
9_1090,2.5
9_1141,2.5
9_1305,4.0
9_1318,4.5
9_1357,3.7
9_1361,3.9
9_1370,4.4
9_1381,3.7
9_1388,4.4
9_1399,4.3
9_1425,3.4
9_1457,4.0
9_1498,3.9
9_1522,3.1
9_1541,4.0
10_91,3.9
10_202,4.0
10_327,3.8
10_340,3.7
10_344,4.0
10_403,3.1
10_408,3.5
10_419,2.8
10_422,3.8
10_433,3.0
10_451,3.6
10_693,3.8
10_787,2.5
10_807,3.6
10_812,3.4
10_892,3.0
10_1043,4.7
10_1090,3.1
10_1097,2.9
10_1252,4.2
10_1292,3.8
10_1318,4.0
10_1325,4.1
10_1481,2.7
11_224,2.0
11_311,3.2
11_326,2.4
11_373,2.9
11_403,2.5
11_436,3.5
11_451,3.3
11_626,3.2
11_706,3.4
11_770,3.6
11_892,2.8
11_1043,3.6
11_1051,1.7
11_1332,2.7
11_1373,3.7
11_1396,3.1
11_1480,2.7
11_1485,3.1
12_25,4.2
12_98,4.0
12_134,3.8
12_190,3.8
12_220,3.2
12_242,3.1
12_259,3.5
12_306,2.8
12_319,3.4
12_375,3.8
12_442,2.3
12_525,3.7
12_529,4.0
12_538,3.5
12_575,3.8
12_661,3.4
12_670,3.8
12_690,3.4
12_789,3.4
12_800,3.8
12_816,4.5
12_850,3.2
12_913,4.5
12_963,4.1
12_1022,3.7
12_1047,2.1
12_1072,3.5
12_1192,3.1
12_1288,4.1
12_1310,4.1
12_1325,4.6
12_1331,2.8
12_1360,3.2
12_1376,4.7
12_1388,4.0
12_1486,3.6
12_1504,2.9
12_1522,2.2
12_1524,4.2
13_81,2.4
13_191,2.0
13_242,3.3
13_322,3.7
13_325,4.6
13_364,4.3
13_419,2.9
13_620,1.4
13_787,1.6
13_850,3.4
13_1045,2.2
13_1050,2.1
13_1072,3.4
13_1168,3.0
13_1287,3.4
13_1292,4.0
13_1305,4.1
13_1331,3.0
13_1332,3.4
14_78,3.6
14_100,3.6
14_112,2.9
14_124,3.3
14_129,3.5
14_158,2.0
14_163,3.5
14_229,3.2
14_244,3.8
14_247,3.2
14_281,4.1
14_284,3.8
14_299,3.3
14_302,3.9
14_329,3.6
14_345,2.2
14_374,2.9
14_375,3.2
14_380,3.5
14_404,2.9
14_407,2.6
14_437,3.2
14_448,3.1
14_451,2.8
14_458,3.6
14_591,3.2
14_604,3.5
14_606,3.7
14_635,3.7
14_672,3.7
14_725,4.2
14_734,3.4
14_746,3.1
14_749,3.6
14_758,3.8
14_769,3.1
14_803,3.9
14_807,1.9
14_809,3.0
14_820,3.5
14_850,2.7
14_872,3.7
14_909,3.5
14_1043,3.3
14_1048,3.4
14_1063,3.2
14_1090,2.9
14_1131,3.0
14_1139,3.6
14_1231,3.0
14_1238,3.8
14_1273,3.2
14_1290,2.7
14_1298,3.0
14_1315,2.9
14_1323,3.1
