"USER_ID_MOVIE_ID","PREDICTED_RATING"
1_34,[3.82192809]
1_94,[3.8056917]
1_243,[3.40384559]
1_277,[3.78252557]
1_335,[3.93510248]
1_442,[3.77439312]
1_567,[3.88510969]
1_618,[3.82188322]
1_750,[3.74515916]
1_837,[3.83196424]
1_839,[3.44596726]
1_963,[4.03739151]
1_977,[3.16557885]
1_1146,[4.08474228]
1_1224,[3.57473694]
1_1232,[3.76261581]
1_1281,[3.83394985]
1_1284,[3.73988427]
1_1288,[3.8473111]
1_1382,[3.71132338]
1_1399,[3.82284929]
1_1449,[4.06320983]
1_1452,[3.96808014]
1_1486,[3.80831186]
1_1498,[3.81064679]
2_14,[3.28673434]
2_56,[3.62573802]
2_285,[3.48095582]
2_441,[3.48492697]
2_1048,[4.02439669]
2_1119,[3.85743876]
2_1192,[3.54933146]
2_1310,[4.05835829]
2_1409,[3.21543973]
3_512,[3.63875462]
3_552,[3.21308802]
3_578,[3.28637545]
3_1050,[3.16635943]
3_1489,[3.24844953]
4_242,[4.51310465]
4_247,[4.1047799]
4_265,[4.1883672]
4_386,[3.48205928]
4_409,[3.96262658]
4_571,[3.03746736]
4_580,[3.34744236]
4_626,[4.19443055]
4_707,[3.67576404]
4_971,[3.94118195]
4_1086,[3.34526012]
4_1177,[3.15494866]
4_1192,[3.78372008]
4_1229,[3.68447053]
4_1307,[3.37663376]
4_1325,[4.15963474]
4_1331,[3.82794558]
4_1382,[3.96953983]
4_1398,[4.14672636]
4_1409,[3.38248858]
4_1510,[4.38420166]
5_130,[3.92645868]
5_390,[3.28075256]
5_408,[3.26905818]
5_485,[3.83505053]
5_595,[3.6683984]
5_858,[3.63935116]
5_878,[3.22892037]
5_1166,[3.65446441]
5_1252,[3.33228893]
5_1373,[4.03991817]
5_1481,[3.26379411]
6_81,[3.05151111]
6_403,[3.03917826]
6_532,[3.13686478]
6_878,[3.26255539]
6_886,[3.16545965]
6_1489,[3.19893521]
7_56,[3.61759163]
7_319,[3.54594958]
7_322,[3.57643938]
7_341,[3.46016794]
7_345,[3.26730487]
7_502,[4.14629003]
7_512,[3.41934715]
7_591,[3.33170592]
7_812,[3.56224985]
7_1043,[3.63331926]
7_1061,[3.08980447]
7_1152,[3.56790575]
7_1165,[3.1954465]
7_1217,[3.68440276]
7_1280,[3.64149433]
7_1325,[3.8475233]
7_1522,[3.0704923]
8_80,[3.18973736]
8_224,[3.36174332]
8_512,[3.55199114]
8_707,[3.510566]
8_886,[3.26743337]
8_1048,[4.07371256]
8_1471,[3.21646325]
8_1521,[3.124635]
9_39,[3.31690984]
9_54,[3.65941665]
9_66,[3.59193945]
9_81,[3.3771022]
9_83,[3.37465923]
9_134,[4.65187917]
9_225,[3.85077473]
9_232,[4.06185226]
9_235,[3.71927598]
9_242,[4.27531274]
9_254,[4.10992888]
9_277,[4.25941934]
9_306,[3.73227613]
9_313,[3.35270742]
9_327,[3.51154723]
9_341,[3.934155]
9_348,[3.90855593]
9_409,[4.292101]
9_431,[4.19405931]
9_451,[3.98660581]
9_454,[3.71412093]
9_457,[3.31864262]
9_490,[4.22645461]
9_503,[3.58252823]
9_518,[3.39257525]
9_621,[3.87352219]
9_645,[3.38768558]
9_705,[3.36788889]
9_726,[3.40421409]
9_739,[3.41383442]
9_746,[4.28086473]
9_767,[4.17546051]
9_800,[4.66110768]
9_890,[3.43236341]
9_892,[3.45242439]
9_901,[3.78565035]
9_911,[3.32504539]
9_991,[3.36036337]
9_1022,[3.86032979]
9_1050,[3.63712411]
9_1090,[3.36788889]
9_1141,[3.36118476]
9_1305,[4.15124901]
9_1318,[3.8610172]
9_1357,[4.54094812]
9_1361,[3.89090806]
9_1370,[3.84993242]
9_1381,[4.12449369]
9_1388,[3.99118874]
9_1399,[4.37940738]
9_1425,[3.40228687]
9_1457,[3.57360563]
9_1498,[4.14587796]
9_1522,[3.64431317]
9_1541,[3.55380035]
10_91,[3.54729176]
10_202,[3.22452143]
10_327,[3.38224472]
10_340,[3.45302037]
10_344,[3.21456081]
10_403,[3.31253432]
10_408,[3.57971326]
10_419,[3.82850189]
10_422,[3.94717089]
10_433,[3.74398777]
10_451,[3.75517363]
10_693,[3.65132444]
10_787,[3.65746143]
10_807,[3.20872089]
10_812,[3.86212042]
10_892,[3.40718286]
10_1043,[3.95884766]
10_1090,[3.25769483]
10_1097,[3.50725579]
10_1252,[3.84043744]
10_1292,[3.91037604]
10_1318,[3.65101731]
10_1325,[3.98148201]
10_1481,[3.49285875]
11_224,[3.21311234]
11_311,[3.4909794]
11_326,[3.02725172]
11_373,[3.78957728]
11_403,[2.9420681]
11_436,[3.55066315]
11_451,[3.40184905]
11_626,[3.84871804]
11_706,[3.49973917]
11_770,[3.33105011]
11_892,[3.06656374]
11_1043,[3.6518047]
11_1051,[3.08178172]
11_1332,[4.04331365]
11_1373,[4.16639095]
11_1396,[3.68214916]
11_1480,[3.00088632]
11_1485,[3.15110212]
12_25,[3.70887689]
12_98,[3.8570905]
12_134,[4.40063202]
12_190,[4.45562653]
12_220,[3.97917206]
12_242,[4.33602878]
12_259,[4.20442358]
12_306,[3.41953935]
12_319,[3.73044664]
12_375,[4.11360665]
12_442,[4.1950748]
12_525,[3.96752684]
12_529,[3.72610059]
12_538,[3.63192224]
12_575,[4.26898214]
12_661,[4.24755043]
12_670,[3.83533218]
12_690,[3.54883772]
12_789,[3.29222572]
12_800,[4.58946971]
12_816,[4.10847906]
12_850,[3.80304059]
12_913,[4.22740121]
12_963,[4.37207975]
12_1022,[3.41689756]
12_1047,[3.12659393]
12_1072,[3.53469372]
12_1192,[3.77091009]
12_1288,[4.17940516]
12_1310,[4.29870808]
12_1325,[3.97042055]
12_1331,[3.78138892]
12_1360,[3.39904007]
12_1376,[4.19617331]
12_1388,[3.80109836]
12_1486,[4.28404865]
12_1504,[3.33821489]
12_1522,[3.30088187]
12_1524,[3.93595585]
13_81,[3.08162376]
13_191,[4.02825878]
13_242,[4.22991771]
13_322,[3.67821563]
13_325,[3.32965268]
13_364,[3.74369137]
13_419,[3.32124893]
13_620,[3.40667127]
13_787,[3.29202881]
13_850,[3.69911778]
13_1045,[3.01531057]
13_1050,[3.1289323]
13_1072,[3.40752704]
13_1168,[4.01280283]
13_1287,[3.23226271]
13_1292,[3.56557737]
13_1305,[3.85047039]
13_1331,[3.63880793]
13_1332,[4.08540917]
14_78,[3.72746292]
14_100,[3.26128812]
14_112,[3.25696953]
14_124,[3.01204792]
14_129,[3.58959342]
14_158,[2.96059914]
14_163,[3.56802953]
14_229,[3.84524488]
14_244,[3.6243505]
14_247,[3.75141607]
14_281,[3.8158133]
14_284,[3.90066652]
14_299,[3.14428004]
14_302,[3.82772683]
14_329,[3.61518584]
14_345,[3.26595876]
14_374,[3.24776558]
14_375,[3.76525917]
14_380,[3.20744308]
14_404,[3.0188448]
14_407,[3.07729756]
14_437,[3.77055583]
14_448,[3.17622572]
14_451,[3.36425837]
14_458,[3.13273354]
14_591,[3.35498133]
14_604,[3.61320934]
14_606,[3.8215642]
14_635,[3.4434697]
14_672,[3.21926205]
14_725,[4.02796585]
14_734,[3.59017474]
14_746,[3.8174931]
14_749,[3.57772785]
14_758,[3.63883787]
14_769,[3.72995879]
14_803,[3.29598863]
14_807,[2.95830884]
